,,gain utilisation factor,thermal bridges factor,transmission factor,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,u_values,heating days,ventilation rate,heating degree days,irradiation heating season,temperature reduction factor
,,building,building,window,Door_1,Floor_1,Floor_2,Roof_1,Roof_2,Wall_1,Wall_2,Wall_3,Window_1,Window_2,building,building,building,building,building
1,29,0.93109193500101,0.1,0.75,3.0,0.7692307692307692,1.0,1.4,0.8,1.7,1.7,1.7,2.8,2.8,222,0.6000000000000002,3463,403,0.83
1,30,0.9329281882024852,0.1,0.75,3.0,0.7751343054489639,1.01,1.4,0.8,1.4,1.4,1.4,2.8,2.8,222,0.6000000000000002,3463,403,0.8
1,31,0.9276944011736638,0.1,0.75,3.0,1.081081081081081,1.6,0.8,0.6,1.2,0.8,0.8823529411764706,2.8,2.8,222,0.6000000000000002,3463,403,0.8
1,32,0.9241629704801652,0.1,0.75,3.0,0.7692307692307692,1.0,0.5,0.5084745762711864,1.0,1.0,1.0,2.8,2.8,222,0.6000000000000002,3463,403,0.84
1,33,0.9257689512799384,0.1,0.75,3.0,0.7692307692307692,1.0,0.5,0.5,0.6,0.6,0.6,2.8,2.8,222,0.6000000000000002,3463,403,0.88
1,34,0.94272896318326,0.1,0.75,3.0,0.6451612903225806,0.8,0.5,0.5,0.8,0.8,0.8,4.3,4.3,222,0.6000000000000002,3463,403,0.88
1,35,0.9213153283123076,0.1,0.75,3.0,0.5084745762711864,0.6,0.4,0.4,0.5,0.5,0.5,3.2,3.2,222,0.6000000000000002,3463,403,0.86
1,36,0.9131522618604472,0.1,0.6,2.0,0.3964757709251101,0.4499999999999999,0.35,0.3,0.3,0.3,0.3,1.9,1.9,222,0.6000000000000002,3463,403,0.88
1,37,0.927640147478062,0.05,0.6,2.0,0.2752293577981651,0.3,0.25,0.24,0.3,0.3,0.3,1.4,1.4,222,0.5,3463,403,0.9000000000000001
1,38,0.9210777667500136,0.05,0.6,1.8,0.35,0.350093358228861,0.2000343630035978,0.2,0.2794466955428252,0.28,0.35,1.3,1.3,222,0.6000000000000002,3463,403,0.9000000000000001
1,39,0.9342962725200792,0.05,0.5,1.3,0.35,0.1706116893082164,0.1458375730992728,0.2,0.1706116890523633,0.28,0.35,1.1,1.3,222,0.6000000000000002,3463,403,0.95
1,40,0.9320008121910388,0.1,0.75,3.0,0.8823529411764706,1.2,1.3,0.7692307692307692,1.7,1.7,1.7,2.7,2.7,222,0.6000000000000002,3463,403,0.84
1,41,0.9244702423528514,0.1,0.75,3.0,0.7692307692307692,1.0,1.4,0.6451612903225806,1.7,1.7,1.7,2.8,2.8,222,0.6000000000000002,3463,403,0.86
1,42,0.903322802908549,0.1,0.75,3.0,1.288343558282209,2.1,1.4,0.6451612903225806,1.2,1.2,1.2,2.8,2.8,222,0.6000000000000002,3463,403,0.84
1,43,0.9440830063097224,0.1,0.75,3.0,1.081081081081081,1.6,0.6,0.5084745762711864,1.2,1.2,1.2,2.8,2.8,222,0.6000000000000002,3463,403,0.89
1,44,0.922961617919632,0.1,0.75,3.0,0.7692307692307692,1.0,0.5,0.5084745762711864,1.0,1.0,1.0,2.8,2.8,222,0.6000000000000002,3463,403,0.87
1,45,0.9263118361746197,0.1,0.75,3.0,0.6451612903225806,0.8,0.5,0.5,0.8,0.8,0.8,2.8,2.8,222,0.6000000000000002,3463,403,0.87
1,46,0.9395108839151742,0.1,0.75,3.0,0.5084745762711864,0.6,0.4,0.4,0.6,0.6,0.6,2.8,2.8,222,0.6000000000000002,3463,403,0.89
1,47,0.9393222475209482,0.1,0.6,2.0,0.4499999999999999,0.4499999999999999,0.35,0.27,0.6,0.6,0.6,1.6,1.6,222,0.6000000000000002,3463,403,0.92
1,48,0.916876676309774,0.05,0.6,2.0,0.2752293577981651,0.3,0.2,0.24,0.3,0.3,0.3,1.3,1.3,222,0.5,3463,403,0.92
1,49,0.9532861645610988,0.05,0.6,1.8,0.35,0.350093358228861,0.2000343630035978,0.2,0.2771179730799684,0.2771179730799684,0.35,1.3,1.3,222,0.6000000000000002,3463,403,0.96
1,50,0.9611295145751808,0.05,0.5,1.3,0.35,0.1572476654574787,0.1341003466739327,0.2,0.1572476652931238,0.1572476652931238,0.35,1.1,1.1,222,0.6000000000000002,3463,403,1.0
2,1,0.9513557487910006,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.1853486319505737,0.229546682566004,0.229546682566004,0.229546682566004,1.3,1.3,222,0.6000000000000002,3463,403,1.0
2,2,0.956014290294357,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.1853486319505737,0.229546682566004,0.229546682566004,0.229546682566004,1.3,1.3,222,0.6000000000000002,3463,403,1.01
2,3,0.9582860915891348,0.1,0.6,1.3,0.260707635009311,0.2828282828282828,0.4104166666666667,0.1745635910224439,0.2193736533983329,0.2193736533983329,0.2193736533983329,1.3,1.3,222,0.6000000000000002,3463,403,1.01
2,4,0.9450607166818752,0.1,0.6,1.3,0.260707635009311,0.2828282828282828,0.4104166666666667,0.1745635910224439,0.2193736533983329,0.2193736533983329,0.2193736533983329,1.3,1.3,222,0.6000000000000002,3463,403,1.0
2,5,0.95836268312706,0.1,0.6,1.3,0.2351623740201567,0.253012048192771,0.4104166666666667,0.1605504587155963,0.1955421055694582,0.1955421055694582,0.1955421055694582,1.3,1.3,222,0.6000000000000002,3463,403,1.01
2,6,0.95074959337987,0.1,0.6,1.3,0.3289192652712516,0.3649289099526066,0.4104166666666667,0.2296964725184578,0.2336091218799972,0.2336091218799972,0.2336091218799972,1.3,1.3,222,0.6000000000000002,3463,403,0.99
2,7,0.9432322988530022,0.1,0.6,1.3,0.3114571746384872,0.3435582822085889,0.4104166666666667,0.1853486319505737,0.229546682566004,0.229546682566004,0.229546682566004,1.3,1.3,222,0.6000000000000002,3463,403,0.99
2,8,0.9503496320413642,0.15,0.6,1.6,0.2924791086350975,0.3206106870229007,0.4104166666666667,0.2258064516129032,0.3408374863951423,0.3408374863951423,0.3408374863951423,1.6,1.6,222,0.6000000000000002,3463,403,0.98
2,9,0.9439264246364992,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.2008608321377331,0.2402917828792105,0.2402917828792105,0.2402917828792105,1.3,1.3,222,0.6000000000000002,3463,403,0.98
2,10,0.9440844437138184,0.1,0.6,1.3,0.3265940902021773,0.3620689655172414,0.4104166666666667,0.2296964725184578,0.2336091218799972,0.2336091218799972,0.2336091218799972,1.3,1.3,222,0.6000000000000002,3463,403,0.98
2,11,0.9479262569610714,0.1,0.6,1.3,0.3114571746384872,0.3435582822085889,0.4104166666666667,0.1853486319505737,0.2336091218799972,0.2336091218799972,0.2336091218799972,1.3,1.3,222,0.6000000000000002,3463,403,0.99
2,12,0.9475020804429004,0.1,0.6,1.3,0.3114571746384872,0.3435582822085889,0.4104166666666667,0.1853486319505737,0.2336091218799972,0.2336091218799972,0.2336091218799972,1.3,1.3,222,0.6000000000000002,3463,403,1.0
2,13,0.9516616230952106,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.1853486319505737,0.229546682566004,0.229546682566004,0.229546682566004,1.3,1.3,222,0.6000000000000002,3463,403,1.0
2,14,0.9563714367218064,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.1853486319505737,0.229546682566004,0.229546682566004,0.229546682566004,1.3,1.3,222,0.6000000000000002,3463,403,1.0
2,15,0.9466677688706924,0.15,0.6,1.6,0.2924791086350975,0.3206106870229007,0.4104166666666667,0.2258064516129032,0.3514056224899598,0.3514056224899598,0.3514056224899598,1.6,1.6,222,0.6000000000000002,3463,403,0.95
2,16,0.947941146288768,0.15,0.6,1.6,0.2924791086350975,0.3206106870229007,0.4104166666666667,0.2114803625377644,0.3571097300806975,0.3571097300806975,0.3571097300806975,1.6,1.6,222,0.6000000000000002,3463,403,0.9700000000000001
2,17,0.9410134542576968,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.2008608321377331,0.2477972851620964,0.2477972851620964,0.2477972851620964,1.3,1.3,222,0.6000000000000002,3463,403,0.96
2,18,0.9511478289923868,0.1,0.6,1.3,0.3289192652712516,0.3649289099526066,0.4104166666666667,0.2296964725184578,0.2336091218799972,0.2336091218799972,0.2336091218799972,1.3,1.3,222,0.6000000000000002,3463,403,0.9700000000000001
2,19,0.9499887992957836,0.1,0.6,1.3,0.3114571746384872,0.3435582822085889,0.4104166666666667,0.1853486319505737,0.2336091218799972,0.2336091218799972,0.2336091218799972,1.3,1.3,222,0.6000000000000002,3463,403,0.99
2,20,0.9482460867509104,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.1853486319505737,0.2248544468982132,0.2248544468982132,0.2248544468982132,1.3,1.3,222,0.6000000000000002,3463,403,0.98
2,21,0.9532499518333996,0.1,0.6,1.3,0.260707635009311,0.2828282828282828,0.4104166666666667,0.1745635910224439,0.2128872837863524,0.2128872837863524,0.2128872837863524,1.3,1.3,222,0.6000000000000002,3463,403,0.99
2,22,0.9369950584574938,0.1,0.6,1.3,0.2351623740201567,0.253012048192771,0.4104166666666667,0.1605504587155963,0.1955421055694582,0.1955421055694582,0.1955421055694582,1.3,1.3,222,0.6000000000000002,3463,403,0.98
2,23,0.9393567415909604,0.1,0.6,1.3,0.2079894354572466,0.2218309859154929,0.4104166666666667,0.1518438177874186,0.1681429214832608,0.1681429214832608,0.1681429214832608,1.3,1.3,222,0.6000000000000002,3463,403,0.98
2,24,0.9526880582856369,0.05,0.6,1.3,0.1837270341207349,0.1944444444444444,0.4104166666666667,0.1316614420062695,0.1342764656516005,0.1342764656516005,0.1342764656516005,1.3,1.3,222,0.5,3463,403,1.0
2,25,0.9510986035126772,0.05,0.5,0.8,0.0,0.1802884615384615,0.0997150997150997,0.0,0.1403487666852128,0.0,0.0,0.7,0.0,222,0.5,3463,403,1.01
2,26,0.951293941566606,0.05,0.5,1.3,0.0,0.1139704249410005,0.0964644487169737,0.0,0.1139704249441662,0.0,0.0,1.1,0.0,222,0.5,3463,403,1.0
2,27,0.9472341459215275,0.15,0.6,1.6,0.4856459330143542,0.4856459330143542,0.4104166666666667,0.2258064516129032,0.3514056224899598,0.3514056224899598,0.3514056224899598,1.6,1.6,222,0.6000000000000002,3463,403,0.9000000000000001
2,28,0.9420045367159862,0.1,0.6,1.6,0.2924791086350975,0.3206106870229007,0.4104166666666667,0.2258064516129032,0.2477972851620964,0.2477972851620964,0.2477972851620964,1.6,1.6,222,0.6000000000000002,3463,403,0.89
2,29,0.9384526105146624,0.1,0.6,1.3,0.2788844621513944,0.3043478260869565,0.4104166666666667,0.2137404580152672,0.2477972851620964,0.2477972851620964,0.2477972851620964,1.3,1.3,222,0.6000000000000002,3463,403,0.9000000000000001
